item_id user_id rating date
1 14472 70 2011-04-24
1 14666 70 2011-05-12
1 14778 70 2011-05-06
1 14848 40 2011-05-08
1 15085 40 2012-02-16
1 15156 90 2011-05-25
1 15256 40 2013-03-14
1 15439 80 2013-04-06
1 15486 50 2016-08-08
1 15505 50 2011-10-09
1 15538 60 2011-06-05
1 15842 70 2011-11-06
1 16061 50 2011-06-26
1 16094 60 2012-03-28
1 16185 70 2011-06-30
1 16455 80 2011-07-13
1 16477 90 2011-07-09
1 16650 50 2011-07-15
1 16651 90 2011-07-14
1 16846 60 2011-07-21
1 17208 50 2017-08-10
1 17300 60 2011-10-17
1 17305 60 2011-10-04
1 17364 60 2011-12-21
1 17570 60 2011-08-14
1 17784 50 2012-05-16
1 17844 70 2011-08-29
1 18280 40 2011-09-08
1 18373 70 2011-10-17
1 18379 70 2012-03-08
1 18637 50 2011-10-31
1 18845 50 2011-10-01
1 19119 50 2011-12-28
1 19127 50 2011-10-08
1 19157 70 2011-10-05
1 19349 50 2011-10-10
1 19358 70 2011-10-11
1 19376 50 2011-10-15
1 19384 60 2013-07-12
1 19388 80 2014-09-29
1 19595 60 2012-01-22
1 19824 60 2011-11-09
1 19874 70 2011-10-30
1 20058 80 2012-01-16
1 20068 30 2011-11-25
1 20328 50 2011-12-10
1 20650 50 2011-11-28
1 20731 70 2022-10-23
1 20945 60 2011-12-09
1 21026 30 2011-12-15
1 21132 30 2012-08-13
1 21184 50 2013-10-20
1 21332 70 2013-03-29
1 21613 30 2012-01-01
1 21617 70 2012-01-01
1 21710 70 2014-07-29
1 21803 60 2012-10-26
1 21849 30 2012-12-28
1 22067 60 2014-01-22
1 22303 70 2012-02-27
1 22331 40 2012-01-19
1 22466 30 2012-01-23
1 22940 80 2012-02-04
1 23008 60 2015-01-08
1 23314 40 2012-02-15
1 23401 100 2012-03-15
1 23425 50 2012-04-13
1 23547 20 2012-03-20
1 23851 50 2014-07-31
1 23922 60 2012-03-04
1 24273 70 2012-03-14
1 24275 50 2012-04-10
1 24355 80 2012-11-28
1 24481 70 2012-03-19
1 24584 50 2012-03-28
1 24593 40 2012-10-13
1 24708 80 2012-10-27
1 25005 40 2012-04-04
1 25303 70 2012-04-21
1 25414 40 2012-04-14
1 25533 50 2012-05-30
1 25717 80 2012-04-22
1 25807 60 2012-04-24
1 25946 40 2012-10-02
1 26168 60 2012-07-24
1 26667 50 2014-02-09
1 26973 50 2012-05-26
1 26979 40 2012-05-23
1 27017 60 2012-05-26
1 27038 50 2013-07-27
1 27044 50 2012-05-25
1 28264 40 2012-07-17
1 28270 60 2012-06-29
1 28571 60 2012-06-30
1 28624 70 2012-07-06
1 28849 80 2012-07-06
1 28991 43 2012-07-08
1 29580 60 2013-02-03
1 29614 30 2012-07-21
1 29669 50 2015-11-04
1 29836 60 2012-07-26
1 29875 60 2012-07-27
1 29974 60 2014-04-22
1 30583 70 2012-08-14
1 30766 80 2012-09-23
1 30852 20 2014-07-07
1 31203 10 2012-10-21
1 31260 80 2012-08-22
1 31266 70 2012-08-21
1 31270 30 2012-08-21
1 31333 60 2012-08-22
1 31453 40 2013-09-19
1 31579 70 2015-03-06
1 32198 70 2013-06-27
